14,12,13,14,19,20,23,26,2,3,1,4,6,6,9,10,10,8,14,19,20,18,21,18,24,44,14,21,24,21,42,12,2,3,16,27,24,18,11,34,14,20,15,5,2,2,29,15,4,56,11,20,23,30,5,11,3,12,18,16,15,9,10,8,12,9,3,15,2,9,12,2,8,4,5,10,4,2,22,19,15,41,11,12,14,20,20,19,4,11,30,14,59,9,22,22,22,24,13,13,13,13,32,13,14,33,25,26,15,15,17,16,16,9,20,50,3,49,44,23,13,19,5,15,2,2,15,50,16,20,21,17,24,24,24,24,24,4,16,6,12,9,8,2,13,9,23,13,13,14,13,12,9,31,25,5,25,6,31,14,17,16,3,3,3,1,12,1,3,2,2,29,30,17,22,22,7,51,44,18,15,21,22,25,5,23,28,28,15,21,15,15,16,20,20,57,5,14
11,10,10,11,16,17,21,23,5,2,4,1,11,4,7,6,8,4,13,17,19,14,17,16,22,40,10,17,19,17,38,8,5,3,13,25,22,14,7,29,13,16,13,4,3,5,25,11,3,51,7,16,18,28,4,7,4,14,13,12,13,11,7,13,14,13,6,14,4,8,13,4,10,3,5,6,3,7,18,15,11,37,9,8,10,16,16,15,3,9,28,12,55,8,18,18,18,20,9,9,9,9,29,14,12,31,20,22,11,11,12,12,12,5,16,48,5,45,39,19,11,15,4,12,5,4,12,45,12,18,19,15,23,23,23,23,23,6,14,3,7,13,13,7,9,11,19,15,9,9,9,14,4,29,20,10,23,6,29,10,13,16,4,5,4,5,10,6,5,6,6,27,28,15,20,18,2,47,40,14,11,18,18,23,3,18,24,24,13,18,13,12,13,18,18,53,7,12
16,15,16,18,22,22,26,28,8,10,6,11,1,6,16,15,10,10,9,15,16,19,22,17,23,46,18,25,28,26,46,18,9,10,18,26,27,22,16,37,9,22,14,12,7,9,33,9,8,59,16,22,24,29,12,17,9,19,21,20,18,16,17,1,6,2,10,9,9,16,19,9,3,11,6,11,11,8,24,21,17,45,11,17,16,21,21,21,11,11,33,14,63,16,27,27,27,29,15,15,15,15,34,19,17,32,28,30,19,19,20,20,20,11,24,53,10,53,47,24,20,23,12,19,8,8,18,53,18,23,24,13,20,20,20,20,19,6,13,12,18,3,3,8,20,4,25,7,19,19,20,6,13,30,26,5,23,8,30,19,21,10,7,9,8,8,12,8,9,9,5,32,33,16,21,24,13,55,48,20,17,24,26,28,11,24,30,29,11,20,18,17,19,19,19,61,7,17
10,8,10,12,15,16,19,22,8,6,6,4,6,1,10,9,3,4,9,13,15,13,16,12,18,39,12,19,21,20,40,11,8,7,12,22,20,15,10,31,9,16,9,8,4,8,27,10,3,53,10,16,18,24,9,11,9,16,15,13,11,14,12,8,10,9,10,10,8,10,16,8,6,7,1,5,7,8,18,15,10,39,5,11,9,15,15,14,8,4,26,8,57,13,21,21,21,23,9,8,8,8,28,17,10,27,22,24,13,12,14,14,14,5,18,46,9,47,41,18,14,16,9,13,8,8,12,47,12,16,17,10,19,19,19,19,18,5,10,6,12,9,9,8,14,7,18,11,13,13,14,10,7,25,20,11,19,2,25,13,15,11,5,6,5,7,6,7,6,7,8,25,26,10,16,18,7,49,42,14,10,18,19,21,6,18,24,23,8,15,11,11,12,14,14,55,4,10
4,3,3,6,10,11,14,17,9,7,9,7,16,10,1,5,6,7,13,16,20,16,18,15,20,41,10,17,19,13,35,6,9,8,7,24,15,9,5,29,13,19,11,5,10,10,25,12,10,50,5,19,19,26,9,6,10,6,13,7,6,4,2,17,14,18,11,15,9,1,6,8,16,8,11,4,8,12,21,18,13,36,7,7,13,18,18,17,8,7,21,10,54,4,14,14,14,16,12,11,11,11,23,7,5,29,20,21,11,10,12,12,12,8,11,41,9,42,37,20,4,14,9,7,10,9,5,43,15,11,12,13,24,24,24,24,23,13,12,10,9,18,18,12,11,17,20,19,8,9,9,18,10,27,21,15,21,10,27,8,8,16,11,12,11,10,8,10,12,12,11,20,21,13,19,21,7,44,37,17,13,12,13,16,10,19,26,25,11,15,6,5,7,17,17,50,14,5
7,8,4,4,9,15,18,21,10,7,10,6,15,9,5,1,9,5,16,18,22,12,13,16,22,36,5,12,15,11,33,2,10,8,10,25,19,8,1,24,16,15,14,9,10,11,20,12,10,46,1,15,15,27,10,1,10,11,8,5,11,9,7,17,15,18,12,17,10,5,11,9,16,8,11,8,8,13,17,15,12,32,10,2,9,14,14,14,9,10,25,13,50,9,12,12,12,14,11,10,10,10,27,12,7,30,15,17,6,6,7,7,7,7,10,45,10,40,34,15,9,10,10,5,10,10,6,40,12,15,16,16,26,26,26,26,26,12,15,10,4,19,18,13,6,16,15,20,3,4,4,19,7,28,17,15,23,9,29,3,7,18,11,11,11,10,11,11,11,12,12,24,25,16,20,16,7,42,35,16,12,12,12,20,10,14,21,20,14,17,9,8,8,18,18,48,13,9
6,5,6,8,12,12,15,18,12,9,10,8,10,3,6,9,1,3,7,9,13,9,13,9,15,36,11,18,20,16,38,8,12,11,8,18,16,11,9,30,7,12,5,11,8,12,26,6,6,52,9,13,14,20,12,10,12,12,14,9,8,10,9,11,8,11,13,8,12,7,12,11,10,10,5,1,11,12,14,12,10,38,1,11,9,11,11,11,11,1,22,4,56,10,17,17,17,19,9,8,8,8,24,13,7,23,21,23,12,11,13,13,13,5,14,43,12,45,39,15,10,15,12,9,12,12,8,45,12,13,14,7,17,17,17,17,17,9,6,8,13,13,13,12,15,10,15,13,12,13,13,12,7,21,16,15,16,6,21,12,11,10,9,10,9,11,2,11,10,11,12,21,23,7,13,15,10,47,40,14,10,14,16,17,9,14,20,20,5,12,8,7,8,11,11,53,8,7
7,5,7,9,12,13,16,19,9,6,8,4,10,4,7,5,3,1,11,13,17,9,13,12,18,36,8,15,17,16,36,7,9,7,9,21,17,12,6,27,11,12,9,8,6,9,23,8,4,49,6,12,14,23,8,7,9,13,11,10,8,11,9,12,10,13,10,12,8,7,13,8,10,7,5,2,7,11,14,11,6,35,5,7,5,11,11,11,7,4,23,8,53,11,17,17,17,19,5,4,4,4,25,14,8,26,18,20,9,9,10,10,10,1,15,43,9,43,37,15,11,13,8,10,9,9,9,43,8,14,14,11,21,21,21,21,21,8,10,4,10,13,13,11,11,11,15,15,9,9,10,14,3,24,16,13,19,3,25,9,12,13,7,7,7,9,6,9,7,9,10,22,24,11,16,14,6,45,38,10,6,15,16,18,5,14,20,20,8,14,8,8,9,14,14,51,8,7
14,12,13,16,19,20,23,26,16,15,14,13,9,9,13,16,7,11,1,6,6,15,18,12,15,40,18,25,28,23,45,16,16,16,15,18,24,19,16,37,1,18,10,17,14,16,33,9,12,59,16,18,20,20,17,17,17,20,21,17,15,17,16,8,5,7,17,1,16,14,20,17,11,16,11,9,16,16,20,17,17,45,8,18,16,17,17,16,16,8,30,12,63,17,24,24,24,26,16,15,15,15,32,20,14,23,28,30,19,19,20,20,20,12,21,50,18,52,47,20,18,23,17,17,16,16,15,53,19,20,21,3,10,10,10,10,10,14,3,15,20,13,12,16,22,11,20,5,19,20,20,8,14,21,22,14,14,11,22,19,18,2,15,15,15,15,7,15,15,16,15,29,30,11,16,20,15,54,47,21,17,22,23,25,15,19,25,25,5,15,15,15,16,14,14,60,13,14
16,14,16,18,21,22,25,28,21,19,19,17,15,13,16,18,9,13,6,1,5,10,13,6,9,33,18,21,23,26,42,18,21,20,18,12,26,21,19,33,6,13,4,21,18,21,29,12,16,55,19,13,15,14,22,20,22,22,21,19,17,20,18,15,12,14,22,7,21,16,22,21,18,20,15,11,20,21,15,12,15,40,11,20,19,12,12,11,20,10,32,14,59,20,27,27,27,25,17,18,18,18,34,23,16,17,24,26,19,19,20,20,20,14,24,52,22,49,43,15,20,23,22,19,21,21,18,49,19,22,23,9,9,9,9,9,8,18,10,17,23,19,18,21,24,17,15,11,22,22,23,14,16,15,17,20,8,15,15,22,21,8,19,19,19,20,8,20,19,21,21,31,32,5,10,15,20,51,44,16,17,24,25,27,19,15,21,20,10,9,17,17,18,8,8,57,17,16
